_id,correlation
4713002,"{'CNAE_PRINCIPAL': 4713002, 'CNAE_SECUNDARIA': '4789002,4789099', 'count': 1}"
4713002,"{'CNAE_PRINCIPAL': 4713002, 'CNAE_SECUNDARIA': '4755502,5612100,4721103,4723700,4789005', 'count': 1}"
4713002,"{'CNAE_PRINCIPAL': 4713002, 'CNAE_SECUNDARIA': '4789001,4789099', 'count': 1}"
4713002,"{'CNAE_PRINCIPAL': 4713002, 'CNAE_SECUNDARIA': '4744003,4322301', 'count': 1}"
4713002,"{'CNAE_PRINCIPAL': 4713002, 'count': 1}"
2330399,"{'CNAE_PRINCIPAL': 2330399, 'count': 1}"
2330399,"{'CNAE_PRINCIPAL': 2330399, 'CNAE_SECUNDARIA': 4759899, 'count': 1}"
4721102,"{'CNAE_PRINCIPAL': 4721102, 'count': 1}"
4721102,"{'CNAE_PRINCIPAL': 4721102, 'CNAE_SECUNDARIA': '1033302,5620101,4721103', 'count': 1}"
7711000,"{'CNAE_PRINCIPAL': 7711000, 'CNAE_SECUNDARIA': '5510801,7990200', 'count': 1}"
7711000,"{'CNAE_PRINCIPAL': 7711000, 'CNAE_SECUNDARIA': '4921301,4923002,4924800,4930201,7719599', 'count': 1}"
9601701,"{'CNAE_PRINCIPAL': 9601701, 'CNAE_SECUNDARIA': 9601703, 'count': 1}"
113000,"{'CNAE_PRINCIPAL': 113000, 'CNAE_SECUNDARIA': '0155501,0139306,0151201', 'count': 1}"
113000,"{'CNAE_PRINCIPAL': 113000, 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': '9521500,9511800,5320202,4330403,4543900,4322301,4399103,4520005,3329501', 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': 4322301, 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': '4752100,4759899', 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': '4742300,4330405,4330404,4930204,4322302,4322301,4713002,3101200,4399103,3321000', 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': 4759899, 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': '4742300,4330404,3299004', 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': '4753900,4322301', 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': '4330405,4330404,4322301,4330402,4399103', 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': '4742300,9512600,9511800,9001906,4752100,6190699,3313901', 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': 6190699, 'count': 2}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'count': 4}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': 5620104, 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': '8020002,4752100,6190699,4751201,4322302,4753900,4757100,3329501', 'count': 1}"
4321500,"{'CNAE_PRINCIPAL': 4321500, 'CNAE_SECUNDARIA': 4322302, 'count': 1}"
9102301,"{'CNAE_PRINCIPAL': 9102301, 'count': 1}"
3230200,"{'CNAE_PRINCIPAL': 3230200, 'CNAE_SECUNDARIA': 3317102, 'count': 1}"
1033302,"{'CNAE_PRINCIPAL': 1033302, 'count': 1}"
3299099,"{'CNAE_PRINCIPAL': 3299099, 'CNAE_SECUNDARIA': 1412601, 'count': 1}"
3299099,"{'CNAE_PRINCIPAL': 3299099, 'count': 9}"
3299099,"{'CNAE_PRINCIPAL': 3299099, 'CNAE_SECUNDARIA': '4789099,3212400', 'count': 1}"
3299099,"{'CNAE_PRINCIPAL': 3299099, 'CNAE_SECUNDARIA': '4755503,1412602,1352900,1422300,1340599', 'count': 1}"
3299099,"{'CNAE_PRINCIPAL': 3299099, 'CNAE_SECUNDARIA': 4781400, 'count': 1}"
6622300,"{'CNAE_PRINCIPAL': 6622300, 'CNAE_SECUNDARIA': '6619399,8640202', 'count': 1}"
9102302,"{'CNAE_PRINCIPAL': 9102302, 'count': 2}"
1033301,"{'CNAE_PRINCIPAL': 1033301, 'CNAE_SECUNDARIA': '1096100,1033302,1099605,1122403,1031700', 'count': 1}"
4520006,"{'CNAE_PRINCIPAL': 4520006, 'CNAE_SECUNDARIA': '4541206,4543900,3299099', 'count': 1}"
4520006,"{'CNAE_PRINCIPAL': 4520006, 'CNAE_SECUNDARIA': 4530705, 'count': 1}"
4520006,"{'CNAE_PRINCIPAL': 4520006, 'count': 2}"
9420100,"{'CNAE_PRINCIPAL': 9420100, 'count': 1}"
1412603,"{'CNAE_PRINCIPAL': 1412603, 'CNAE_SECUNDARIA': '1412602,4781400', 'count': 1}"
1412603,"{'CNAE_PRINCIPAL': 1412603, 'CNAE_SECUNDARIA': '1411802,1411801,1412601,4642701,4781400', 'count': 1}"
1412603,"{'CNAE_PRINCIPAL': 1412603, 'CNAE_SECUNDARIA': 4789099, 'count': 1}"
1412603,"{'CNAE_PRINCIPAL': 1412603, 'count': 1}"
1629301,"{'CNAE_PRINCIPAL': 1629301, 'CNAE_SECUNDARIA': '2319200,1749400,2229399,3299099', 'count': 1}"
5510801,"{'CNAE_PRINCIPAL': 5510801, 'CNAE_SECUNDARIA': '5611201,4723700', 'count': 1}"
5510801,"{'CNAE_PRINCIPAL': 5510801, 'CNAE_SECUNDARIA': '0111302,0119905,0119906,0119907,0119999,0121101,0131800,0132600,0133402,0133499,0139303,0139304,0155503,0155504,1013901,1032599,4729602,4729699,4742300,4744004,4744005,4744099,5611201,5611203,5611204,8230002', 'count': 1}"
5510801,"{'CNAE_PRINCIPAL': 5510801, 'count': 1}"
7490105,"{'CNAE_PRINCIPAL': 7490105, 'count': 1}"
5590699,"{'CNAE_PRINCIPAL': 5590699, 'CNAE_SECUNDARIA': '5611203,5611201', 'count': 1}"
5590699,"{'CNAE_PRINCIPAL': 5590699, 'count': 1}"
4617600,"{'CNAE_PRINCIPAL': 4617600, 'count': 1}"
2052500,"{'CNAE_PRINCIPAL': 2052500, 'CNAE_SECUNDARIA': 4789005, 'count': 1}"
3329501,"{'CNAE_PRINCIPAL': 3329501, 'CNAE_SECUNDARIA': 4744002, 'count': 1}"
3329501,"{'CNAE_PRINCIPAL': 3329501, 'CNAE_SECUNDARIA': 3101200, 'count': 2}"
4771701,"{'CNAE_PRINCIPAL': 4771701, 'CNAE_SECUNDARIA': 4772500, 'count': 2}"
4771701,"{'CNAE_PRINCIPAL': 4771701, 'CNAE_SECUNDARIA': '4772500,4729602,4753900', 'count': 1}"
6920601,"{'CNAE_PRINCIPAL': 6920601, 'count': 2}"
6920601,"{'CNAE_PRINCIPAL': 6920601, 'CNAE_SECUNDARIA': 6920602, 'count': 1}"
6920601,"{'CNAE_PRINCIPAL': 6920601, 'CNAE_SECUNDARIA': '4763601,4759801,4781400,4789099,4754701,4763602,4744001,4773300,4755503,4755502,4755501,4723700,4789005,4789007', 'count': 1}"
